bench,name,seed,cond,delta,target,gain,acc_gain,joint_harm,apply,flip_harm,flip_help
drugban,human_random,s1,scaffold_prot50,0.0,cross_mask,0.011233366301025005,0.02750000000000008,0.05333333333333334,0.16833333333333333,0.0325,0.06
drugban,human_random,s1,scaffold_prot50,0.02,cross_mask,0.011233366301025005,0.02750000000000008,0.05333333333333334,0.16833333333333333,0.0325,0.06
drugban,human_random,s1,scaffold_prot50,0.05,cross_mask,0.011233366301025005,0.02750000000000008,0.05333333333333334,0.16833333333333333,0.0325,0.06
drugban,human_random,s1,scaffold_prot50,0.1,cross_mask,0.011233366301025005,0.02750000000000008,0.05333333333333334,0.16833333333333333,0.0325,0.06
drugban,human_random,s1,scaffold_prot50,0.2,cross_mask,0.011233366301025005,0.02750000000000008,0.050833333333333335,0.16833333333333333,0.0325,0.06
drugban,human_random,s2,prot25,0.0,hard,0.019066939399388527,0.040000000000000036,0.059166666666666666,0.225,0.03166666666666667,0.07166666666666667
drugban,human_random,s2,prot25,0.02,hard,0.019066939399388527,0.040000000000000036,0.059166666666666666,0.225,0.03166666666666667,0.07166666666666667
drugban,human_random,s2,prot25,0.05,hard,0.019066939399388527,0.040000000000000036,0.059166666666666666,0.225,0.03166666666666667,0.07166666666666667
drugban,human_random,s2,prot25,0.1,hard,0.019066939399388527,0.040000000000000036,0.059166666666666666,0.225,0.03166666666666667,0.07166666666666667
drugban,human_random,s2,prot25,0.2,hard,0.019066939399388527,0.040000000000000036,0.0575,0.225,0.03166666666666667,0.07166666666666667
drugban,human_random,s2,scaffold_prot50,0.0,hard,0.009468845531379277,0.01333333333333342,0.10416666666666667,0.7716666666666666,0.019166666666666665,0.0325
drugban,human_random,s2,scaffold_prot50,0.02,hard,0.013363154108973152,0.021666666666666723,0.13833333333333334,0.84,0.025833333333333333,0.0475
drugban,human_random,s2,scaffold_prot50,0.05,hard,0.014706212911346883,0.02416666666666667,0.17333333333333334,0.9216666666666666,0.03833333333333333,0.0625
drugban,human_random,s2,scaffold_prot50,0.1,hard,0.014706212911346883,0.02416666666666667,0.12666666666666668,0.9216666666666666,0.03833333333333333,0.0625
drugban,human_random,s2,scaffold_prot50,0.2,hard,0.014706212911346883,0.02416666666666667,0.08,0.9216666666666666,0.03833333333333333,0.0625
drugban,biosnap_cluster,s42,prot25,0.0,hard,0.0728532529417486,0.10143329658213895,0.16207276736493936,0.4310915104740904,0.15214994487320838,0.2535832414553473
drugban,biosnap_cluster,s42,prot25,0.02,hard,0.0728532529417486,0.10143329658213895,0.16207276736493936,0.4310915104740904,0.15214994487320838,0.2535832414553473
drugban,biosnap_cluster,s42,prot25,0.05,hard,0.0728532529417486,0.10143329658213895,0.16207276736493936,0.4310915104740904,0.15214994487320838,0.2535832414553473
drugban,biosnap_cluster,s42,prot25,0.1,hard,0.07787124380044741,0.10694597574421172,0.17420066152149946,0.45865490628445427,0.1543550165380375,0.2613009922822492
drugban,biosnap_cluster,s42,prot25,0.2,hard,0.07939317319848294,0.10474090407938264,0.185226019845645,0.4829106945975744,0.15766262403528114,0.2624035281146637
drugban,biosnap_cluster,s42,scaffold_prot50,0.0,hard,0.11678984732082076,0.13120176405733186,0.16868798235942667,0.4807056229327453,0.13120176405733186,0.2624035281146637
drugban,biosnap_cluster,s42,scaffold_prot50,0.02,hard,0.11678984732082076,0.13120176405733186,0.16868798235942667,0.4807056229327453,0.13120176405733186,0.2624035281146637
drugban,biosnap_cluster,s42,scaffold_prot50,0.05,hard,0.11718856364874064,0.13009922822491726,0.17199558985667035,0.48732083792723263,0.1345093715545755,0.26460859977949286
drugban,biosnap_cluster,s42,scaffold_prot50,0.1,hard,0.11718856364874064,0.13009922822491726,0.17199558985667035,0.48732083792723263,0.1345093715545755,0.26460859977949286
drugban,biosnap_cluster,s42,scaffold_prot50,0.2,hard,0.11666342507050464,0.12899669239250278,0.20727673649393605,0.6273428886438809,0.1444321940463065,0.27342888643880925
drugban,biosnap_cluster,s1,prot25,0.0,hard,0.06562287270251865,0.08048511576626238,0.13120176405733186,0.38588754134509373,0.0970231532524807,0.17750826901874311
drugban,biosnap_cluster,s1,prot25,0.02,hard,0.06562287270251865,0.08048511576626238,0.13120176405733186,0.38588754134509373,0.0970231532524807,0.17750826901874311
drugban,biosnap_cluster,s1,prot25,0.05,hard,0.06681902168627829,0.08158765159867687,0.13120176405733186,0.3869900771775083,0.0970231532524807,0.17861080485115766
drugban,biosnap_cluster,s1,prot25,0.1,hard,0.06681902168627829,0.08158765159867687,0.13009922822491732,0.3869900771775083,0.0970231532524807,0.17861080485115766
drugban,biosnap_cluster,s1,prot25,0.2,hard,0.06715452688904011,0.08158765159867687,0.11907386990077178,0.38919514884233736,0.0970231532524807,0.17861080485115766
drugban,biosnap_cluster,s1,scaffold_prot50,0.0,hard,0.11813673052611107,0.13671444321940462,0.13230429988974643,0.45755237045203967,0.0782800441014333,0.21499448732083792
drugban,biosnap_cluster,s1,scaffold_prot50,0.02,hard,0.11813673052611107,0.13671444321940462,0.12679162072767364,0.45755237045203967,0.0782800441014333,0.21499448732083792
drugban,biosnap_cluster,s1,scaffold_prot50,0.05,hard,0.11813673052611107,0.13671444321940462,0.12458654906284454,0.45755237045203967,0.0782800441014333,0.21499448732083792
drugban,biosnap_cluster,s1,scaffold_prot50,0.1,hard,0.11813673052611107,0.13671444321940462,0.11686879823594266,0.45755237045203967,0.0782800441014333,0.21499448732083792
drugban,biosnap_cluster,s1,scaffold_prot50,0.2,hard,0.11813673052611107,0.13671444321940462,0.1113561190738699,0.45755237045203967,0.0782800441014333,0.21499448732083792
drugban,biosnap_cluster,s2,prot25,0.0,hard,0.08332198774676647,0.1080485115766262,0.175303197353914,0.48180815876515987,0.14332965821389196,0.2513781697905182
drugban,biosnap_cluster,s2,prot25,0.02,hard,0.08332198774676647,0.1080485115766262,0.175303197353914,0.48180815876515987,0.14332965821389196,0.2513781697905182
drugban,biosnap_cluster,s2,prot25,0.05,hard,0.08332198774676647,0.1080485115766262,0.175303197353914,0.48180815876515987,0.14332965821389196,0.2513781697905182
drugban,biosnap_cluster,s2,prot25,0.1,hard,0.08332198774676647,0.1080485115766262,0.17420066152149946,0.48180815876515987,0.14332965821389196,0.2513781697905182
drugban,biosnap_cluster,s2,prot25,0.2,hard,0.08213556355149276,0.10584343991179712,0.16648291069459759,0.4884233737596472,0.14773980154355015,0.2535832414553473
