family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.3,0.05,0.975,0.551429,0.48134,0.144366,0.299924,0.159476,1.005168,0.158201,1.444483,0.520663,0.707446,0.494035,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.4,0.05,0.975,0.551429,0.386128,0.096486,0.249882,0.160022,0.871603,0.161114,1.444328,0.521027,0.711633,0.430508,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.4,0.05,0.975,0.551429,0.382669,0.096122,0.251189,0.157837,0.871528,0.158201,1.444483,0.520663,0.707446,0.427131,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,hard,0,0.5,0.05,0.975,0.551429,0.310395,0.064628,0.208211,0.149281,0.761683,0.161114,1.444328,0.521027,0.711633,0.370711,1374,5493,True
drugban,biosnap_random_s42_pool-source,prot25,cross_mask,0,0.5,0.05,0.975,0.551429,0.309849,0.064446,0.207991,0.148917,0.764183,0.158201,1.444483,0.520663,0.707446,0.370104,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.05,0.05,0.7,0.745312,0.185509,0.003095,0.016683,0.001638,0.024865,0.028218,0.660104,0.569634,0.756417,0.79076,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.05,0.05,0.7,0.745312,0.188786,0.003459,0.018322,0.002185,0.025004,0.026761,0.660398,0.567085,0.756235,0.79333,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.1,0.05,0.7,0.745312,0.210268,0.007464,0.035498,0.010741,0.036559,0.028218,0.660104,0.569634,0.756417,0.681291,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.1,0.05,0.7,0.745312,0.21318,0.007828,0.036721,0.011105,0.036412,0.026761,0.660398,0.567085,0.756235,0.684549,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.15,0.05,0.7,0.745312,0.244493,0.018933,0.077439,0.018387,0.055897,0.028218,0.660104,0.569634,0.756417,0.589321,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.15,0.05,0.7,0.745312,0.245767,0.018751,0.076296,0.018205,0.055039,0.026761,0.660398,0.567085,0.756235,0.594182,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.2,0.05,0.7,0.745312,0.284544,0.035318,0.12412,0.025123,0.088862,0.028218,0.660104,0.569634,0.756417,0.5211,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.2,0.05,0.7,0.745312,0.29037,0.038048,0.131034,0.023666,0.089917,0.026761,0.660398,0.567085,0.756235,0.517027,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.3,0.05,0.7,0.745312,0.243583,0.018751,0.076981,0.017659,0.054625,0.028218,0.660104,0.569634,0.756417,0.407454,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.3,0.05,0.7,0.745312,0.246313,0.019115,0.077605,0.018023,0.054981,0.026761,0.660398,0.567085,0.756235,0.407381,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.4,0.05,0.7,0.745312,0.209904,0.007464,0.035559,0.010741,0.036537,0.028218,0.660104,0.569634,0.756417,0.316312,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.4,0.05,0.7,0.745312,0.21227,0.007646,0.036021,0.011105,0.03645,0.026761,0.660398,0.567085,0.756235,0.312538,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,hard,0,0.5,0.05,0.7,0.745312,0.192063,0.004369,0.022749,0.003277,0.026256,0.028218,0.660104,0.569634,0.756417,0.247593,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold,cross_mask,0,0.5,0.05,0.7,0.745312,0.194247,0.004187,0.021556,0.003459,0.026253,0.026761,0.660398,0.567085,0.756235,0.242454,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.05,0.05,0.85,0.673038,0.162388,0.010377,0.063901,0.037684,0.115118,0.07373,0.725085,0.563991,0.735299,0.744535,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.05,0.05,0.85,0.673038,0.16694,0.009831,0.058888,0.038048,0.114857,0.073002,0.725219,0.559803,0.734753,0.744551,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.1,0.05,0.85,0.673038,0.216093,0.022938,0.10615,0.057892,0.184082,0.07373,0.725085,0.563991,0.735299,0.656848,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.1,0.05,0.85,0.673038,0.219734,0.022756,0.103563,0.056618,0.182884,0.073002,0.725219,0.559803,0.734753,0.659433,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.15,0.05,0.85,0.673038,0.273803,0.046423,0.169548,0.06663,0.228716,0.07373,0.725085,0.563991,0.735299,0.590465,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.15,0.05,0.85,0.673038,0.2718,0.041325,0.152043,0.068451,0.22693,0.073002,0.725219,0.559803,0.734753,0.597352,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.2,0.05,0.85,0.673038,0.326233,0.069361,0.212612,0.072456,0.283162,0.07373,0.725085,0.563991,0.735299,0.536619,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.2,0.05,0.85,0.673038,0.328054,0.067541,0.205882,0.072092,0.279017,0.073002,0.725219,0.559803,0.734753,0.538122,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.3,0.05,0.85,0.673038,0.318951,0.065902,0.206621,0.072092,0.278236,0.07373,0.725085,0.563991,0.735299,0.455834,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.3,0.05,0.85,0.673038,0.315492,0.060987,0.193306,0.072456,0.273196,0.073002,0.725219,0.559803,0.734753,0.453095,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.4,0.05,0.85,0.673038,0.258511,0.040233,0.155634,0.064082,0.216897,0.07373,0.725085,0.563991,0.735299,0.39267,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.4,0.05,0.85,0.673038,0.262152,0.038413,0.146528,0.065356,0.217477,0.073002,0.725219,0.559803,0.734753,0.390864,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,hard,0,0.5,0.05,0.85,0.673038,0.204078,0.018387,0.090098,0.0568,0.177875,0.07373,0.725085,0.563991,0.735299,0.32335,1374,5493,True
drugban,biosnap_random_s42_pool-source,scaffold_prot50,cross_mask,0,0.5,0.05,0.85,0.673038,0.206809,0.017659,0.085387,0.056618,0.175545,0.073002,0.725219,0.559803,0.734753,0.319237,1374,5493,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.05,0.05,0.175,0.907419,0.669004,0.002236,0.003342,0.000102,0.032073,-0.000102,0.05615,0.279065,0.843801,0.811814,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.05,0.05,0.175,0.907419,0.675407,0.001016,0.001505,0.000102,0.031706,-0.000102,0.054492,0.273476,0.838313,0.81674,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.1,0.05,0.175,0.907419,0.68313,0.006911,0.010116,0.000813,0.032123,-0.000102,0.05615,0.279065,0.843801,0.482766,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.1,0.05,0.175,0.907419,0.687398,0.005691,0.008279,0.000508,0.031638,-0.000102,0.054492,0.273476,0.838313,0.48094,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.15,0.05,0.175,0.907419,0.669919,0.002439,0.003641,0.000102,0.032074,-0.000102,0.05615,0.279065,0.843801,0.236749,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.15,0.05,0.175,0.907419,0.67622,0.00122,0.001803,0.000102,0.03171,-0.000102,0.054492,0.273476,0.838313,0.235467,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.2,0.05,0.175,0.907419,0.668089,0.001728,0.002586,0.000102,0.032124,-0.000102,0.05615,0.279065,0.843801,0.136834,2460,9840,True
