family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
vision,food101,complete,cross_mask,0,0.3,0.05,0.375,0.896324,0.705945,0.003597,0.005096,0.0,0.008973,0.002952,0.110329,0.188027,0.871604,0.031143,1603,21683,True
vision,food101,complete,hard,0,0.4,0.05,0.275,0.896324,0.58645,0.002352,0.004011,0.0,0.001271,0.002168,0.09354,0.18217,0.872896,0.005885,1603,21683,True
vision,food101,complete,cross_mask,0,0.4,0.05,0.375,0.896324,0.624775,0.001845,0.002953,0.0,0.005763,0.002952,0.110329,0.188027,0.871604,0.00699,1603,21683,True
vision,food101,complete,hard,0,0.5,0.05,0.275,0.896324,0.483974,0.00166,0.003431,0.0,-0.000528,0.002168,0.09354,0.18217,0.872896,0.001045,1603,21683,True
vision,food101,complete,cross_mask,0,0.5,0.05,0.375,0.896324,0.555181,0.000922,0.001661,0.0,0.004056,0.002952,0.110329,0.188027,0.871604,0.000426,1603,21683,True
vision,food101,textmiss,hard,0,0.05,0.05,0.325,0.620117,0.115344,0.002029,0.017593,0.0,0.002769,0.008624,0.368981,0.578933,0.591569,0.999546,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.05,0.05,0.425,0.620117,0.09542,0.000415,0.00435,0.0,0.00769,0.012037,0.483428,0.580962,0.591431,0.999304,1603,21683,True
vision,food101,textmiss,hard,0,0.1,0.05,0.325,0.620117,0.144491,0.003459,0.023939,0.0,0.003206,0.008624,0.368981,0.578933,0.591569,0.992187,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.1,0.05,0.425,0.620117,0.11147,0.000922,0.008275,0.0,0.009613,0.012037,0.483428,0.580962,0.591431,0.990581,1603,21683,True
vision,food101,textmiss,hard,0,0.15,0.05,0.325,0.620117,0.149979,0.003966,0.026445,0.0,0.002906,0.008624,0.368981,0.578933,0.591569,0.974095,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.15,0.05,0.425,0.620117,0.115667,0.001245,0.010766,0.0,0.009933,0.012037,0.483428,0.580962,0.591431,0.97266,1603,21683,True
vision,food101,textmiss,hard,0,0.2,0.05,0.325,0.620117,0.156205,0.004474,0.028639,0.0,0.003667,0.008624,0.368981,0.578933,0.591569,0.944326,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.2,0.05,0.425,0.620117,0.121109,0.001706,0.01409,0.0,0.010848,0.012037,0.483428,0.580962,0.591431,0.938075,1603,21683,True
vision,food101,textmiss,hard,0,0.3,0.05,0.325,0.620117,0.183877,0.010792,0.058691,0.000646,0.009379,0.008624,0.368981,0.578933,0.591569,0.819848,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.3,0.05,0.425,0.620117,0.151501,0.009501,0.062709,0.00143,0.020354,0.012037,0.483428,0.580962,0.591431,0.814515,1603,21683,True
vision,food101,textmiss,hard,0,0.4,0.05,0.325,0.620117,0.204861,0.015911,0.077668,0.002583,0.012064,0.008624,0.368981,0.578933,0.591569,0.579692,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.4,0.05,0.425,0.620117,0.169395,0.012637,0.074598,0.004427,0.024103,0.012037,0.483428,0.580962,0.591431,0.595435,1603,21683,True
vision,food101,textmiss,hard,0,0.5,0.05,0.325,0.620117,0.171978,0.00761,0.044248,0.0,0.005403,0.008624,0.368981,0.578933,0.591569,0.334544,1603,21683,True
vision,food101,textmiss,cross_mask,0,0.5,0.05,0.425,0.620117,0.141078,0.00535,0.037921,0.000277,0.015675,0.012037,0.483428,0.580962,0.591431,0.391606,1603,21683,True
vision,food101,imgmiss,hard,0,0.05,0.05,0.175,0.825347,0.723193,0.005811,0.008035,0.0,0.007798,0.001107,0.068706,0.157635,0.812434,0.997497,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.05,0.05,0.275,0.825347,0.707144,0.002444,0.003457,0.0,0.013123,0.000876,0.099009,0.15353,0.811973,0.997791,1603,21683,True
vision,food101,imgmiss,hard,0,0.1,0.05,0.175,0.825347,0.75068,0.00784,0.010444,0.0,0.008476,0.001107,0.068706,0.157635,0.812434,0.988652,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.1,0.05,0.275,0.825347,0.734308,0.004058,0.005527,0.0,0.013585,0.000876,0.099009,0.15353,0.811973,0.988155,1603,21683,True
vision,food101,imgmiss,hard,0,0.15,0.05,0.175,0.825347,0.778398,0.014112,0.01813,4.6e-05,0.010722,0.001107,0.068706,0.157635,0.812434,0.900912,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.15,0.05,0.275,0.825347,0.763363,0.0101,0.013231,0.000138,0.015921,0.000876,0.099009,0.15353,0.811973,0.896954,1603,21683,True
vision,food101,imgmiss,hard,0,0.2,0.05,0.175,0.825347,0.771342,0.010607,0.013752,0.0,0.008887,0.001107,0.068706,0.157635,0.812434,0.180871,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.2,0.05,0.275,0.825347,0.75995,0.007794,0.010256,0.0,0.014951,0.000876,0.099009,0.15353,0.811973,0.237125,1603,21683,True
vision,food101,imgmiss,hard,0,0.3,0.05,0.175,0.825347,0.692801,0.005258,0.007589,0.0,0.003511,0.001107,0.068706,0.157635,0.812434,0.017726,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.3,0.05,0.275,0.825347,0.696075,0.002813,0.004042,0.0,0.011465,0.000876,0.099009,0.15353,0.811973,0.022741,1603,21683,True
vision,food101,imgmiss,hard,0,0.4,0.05,0.175,0.825347,0.587834,0.002952,0.005021,0.0,0.000351,0.001107,0.068706,0.157635,0.812434,0.003889,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.4,0.05,0.275,0.825347,0.609971,0.001706,0.002798,0.0,0.006591,0.000876,0.099009,0.15353,0.811973,0.006077,1603,21683,True
vision,food101,imgmiss,hard,0,0.5,0.05,0.175,0.825347,0.493382,0.002029,0.004113,0.0,-0.000381,0.001107,0.068706,0.157635,0.812434,0.001541,1603,21683,True
vision,food101,imgmiss,cross_mask,0,0.5,0.05,0.275,0.825347,0.523221,0.000922,0.001763,0.0,0.004547,0.000876,0.099009,0.15353,0.811973,0.001368,1603,21683,True
