family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.2,0.25,0.975,0.529544,0.697831,0.065071,0.093248,0.261032,3.906743,0.257292,4.496457,0.282723,0.782349,0.6045,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,0,0.2,0.5,0.975,0.529544,0.853403,0.05834,0.068361,0.261032,4.083129,0.257292,4.496457,0.147345,0.782349,0.6045,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.2,0.0,0.975,0.5273,0.519073,0.077786,0.149856,0.231862,1.536667,0.228871,1.865169,0.450262,0.752431,0.609811,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.2,0.01,0.975,0.5273,0.522064,0.077786,0.148997,0.231862,1.539787,0.228871,1.865169,0.448018,0.752431,0.609811,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.2,0.05,0.975,0.5273,0.571429,0.078534,0.137435,0.231862,1.538757,0.228871,1.865169,0.401645,0.752431,0.609811,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.2,0.1,0.975,0.5273,0.615557,0.078534,0.127582,0.231862,1.542563,0.228871,1.865169,0.361257,0.752431,0.609811,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.2,0.25,0.975,0.5273,0.729993,0.078534,0.107582,0.230366,1.550671,0.228871,1.865169,0.256545,0.752431,0.609811,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,1,0.2,0.5,0.975,0.5273,0.855647,0.07629,0.089161,0.229619,1.622162,0.228871,1.865169,0.154076,0.752431,0.609811,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,1,0.2,0.0,0.975,0.324607,0.703067,0.04712,0.067021,0.417352,2.450939,0.427823,2.815884,0.252805,0.752431,0.609978,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,1,0.2,0.01,0.975,0.324607,0.703815,0.04712,0.06695,0.417352,2.450935,0.427823,2.815884,0.252057,0.752431,0.609978,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,1,0.2,0.05,0.975,0.324607,0.747195,0.04712,0.063063,0.417352,2.456033,0.427823,2.815884,0.210172,0.752431,0.609978,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,1,0.2,0.1,0.975,0.324607,0.771877,0.046372,0.060078,0.418848,2.471621,0.427823,2.815884,0.18923,0.752431,0.609978,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,1,0.2,0.25,0.975,0.324607,0.826477,0.046372,0.056109,0.419596,2.477961,0.427823,2.815884,0.141361,0.752431,0.609978,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,1,0.2,0.5,0.975,0.324607,0.907255,0.044129,0.04864,0.420344,2.578581,0.427823,2.815884,0.086013,0.752431,0.609978,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,1,0.2,0.0,0.875,0.659686,0.359013,0.057592,0.160417,0.124907,0.782101,0.125654,1.280984,0.565445,0.780853,0.558574,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,1,0.2,0.01,0.875,0.659686,0.361257,0.057592,0.15942,0.124907,0.782088,0.125654,1.280984,0.563201,0.780853,0.558574,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,1,0.2,0.05,0.875,0.659686,0.449514,0.057592,0.12812,0.124907,0.780113,0.125654,1.280984,0.474196,0.780853,0.558574,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,1,0.2,0.1,0.875,0.659686,0.510097,0.05834,0.11437,0.124159,0.781924,0.125654,1.280984,0.416604,0.780853,0.558574,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,1,0.2,0.25,0.875,0.659686,0.646971,0.056844,0.087861,0.122663,0.808247,0.125654,1.280984,0.288706,0.780853,0.558574,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,1,0.2,0.5,0.875,0.659686,0.823485,0.050112,0.060854,0.121167,0.937507,0.125654,1.280984,0.138369,0.780853,0.558574,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,1,0.2,0.0,0.975,0.546746,0.49813,0.067315,0.135135,0.237846,1.76726,0.235602,2.246305,0.471204,0.780853,0.551474,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,1,0.2,0.01,0.975,0.546746,0.501122,0.067315,0.134328,0.237846,1.767238,0.235602,2.246305,0.468212,0.780853,0.551474,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,1,0.2,0.05,0.975,0.546746,0.582648,0.066567,0.114249,0.237846,1.765003,0.235602,2.246305,0.385939,0.780853,0.551474,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,1,0.2,0.1,0.975,0.546746,0.621541,0.066567,0.1071,0.237846,1.767516,0.235602,2.246305,0.347794,0.780853,0.551474,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,1,0.2,0.25,0.975,0.546746,0.715034,0.065819,0.09205,0.237846,1.797568,0.235602,2.246305,0.259536,0.780853,0.551474,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,1,0.2,0.5,0.975,0.546746,0.838444,0.065819,0.078501,0.237846,1.916252,0.235602,2.246305,0.16006,0.780853,0.551474,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,1,0.2,0.0,0.925,0.512341,0.528796,0.097233,0.183876,0.257292,2.052903,0.243082,2.389077,0.477936,0.742708,0.592158,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,1,0.2,0.01,0.925,0.512341,0.53104,0.097233,0.183099,0.257292,2.052893,0.243082,2.389077,0.475692,0.742708,0.592158,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,1,0.2,0.05,0.925,0.512341,0.567689,0.097233,0.171278,0.257292,2.05202,0.243082,2.389077,0.439791,0.742708,0.592158,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,1,0.2,0.1,0.925,0.512341,0.608078,0.097981,0.161132,0.257292,2.058231,0.243082,2.389077,0.402393,0.742708,0.592158,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,1,0.2,0.25,0.925,0.512341,0.712042,0.094989,0.133403,0.25804,2.073091,0.243082,2.389077,0.305161,0.742708,0.592158,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,1,0.2,0.5,0.925,0.512341,0.845176,0.089005,0.10531,0.255049,2.119367,0.243082,2.389077,0.184742,0.742708,0.592158,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,1,0.2,0.0,0.95,0.486163,0.560957,0.092745,0.165333,0.270007,1.892654,0.259536,2.292046,0.427076,0.742708,0.599942,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,1,0.2,0.01,0.95,0.486163,0.564697,0.092745,0.164238,0.270007,1.895109,0.259536,2.292046,0.424084,0.742708,0.599942,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,1,0.2,0.05,0.95,0.486163,0.598355,0.092745,0.155,0.270007,1.894537,0.259536,2.292046,0.391174,0.742708,0.599942,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,1,0.2,0.1,0.95,0.486163,0.643231,0.091997,0.143023,0.270007,1.895633,0.259536,2.292046,0.346298,0.742708,0.599942,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,1,0.2,0.25,0.95,0.486163,0.742708,0.091249,0.12286,0.270755,1.926955,0.259536,2.292046,0.25804,0.742708,0.599942,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,1,0.2,0.5,0.95,0.486163,0.852655,0.089005,0.104386,0.270755,2.002687,0.259536,2.292046,0.169783,0.742708,0.599942,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,1,0.2,0.0,0.925,0.604338,0.400898,0.04712,0.117537,0.198953,2.097923,0.213164,2.741744,0.537771,0.801795,0.55076,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,1,0.2,0.01,0.925,0.604338,0.403141,0.04712,0.116883,0.198953,2.097909,0.213164,2.741744,0.535527,0.801795,0.55076,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,1,0.2,0.05,0.925,0.604338,0.458489,0.04712,0.102773,0.198953,2.09644,0.213164,2.741744,0.479432,0.801795,0.55076,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,1,0.2,0.1,0.925,0.604338,0.52356,0.047868,0.091429,0.198953,2.097755,0.213164,2.741744,0.417352,0.801795,0.55076,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,1,0.2,0.25,0.925,0.604338,0.655946,0.047868,0.072976,0.198953,2.138546,0.213164,2.741744,0.29095,0.801795,0.55076,1336,1337,True
dcl,dcl_condition_specialist,severe_three_sensors,hard,1,0.2,0.5,0.925,0.604338,0.8362,0.047868,0.057245,0.198205,2.243024,0.213164,2.741744,0.137622,0.801795,0.55076,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,1,0.2,0.0,0.975,0.489155,0.50561,0.04712,0.093195,0.318624,3.084429,0.318624,3.727131,0.438295,0.801795,0.551361,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,1,0.2,0.01,0.975,0.489155,0.50561,0.04712,0.093195,0.318624,3.084429,0.318624,3.727131,0.438295,0.801795,0.551361,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,1,0.2,0.05,0.975,0.489155,0.546746,0.047868,0.087551,0.318624,3.083238,0.318624,3.727131,0.397906,0.801795,0.551361,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,1,0.2,0.1,0.975,0.489155,0.585639,0.047868,0.081737,0.318624,3.086691,0.318624,3.727131,0.359761,0.801795,0.551361,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,1,0.2,0.25,0.975,0.489155,0.70531,0.04712,0.066808,0.318624,3.152273,0.318624,3.727131,0.249813,0.801795,0.551361,1336,1337,True
dcl,dcl_full_masked,severe_three_sensors,hard,1,0.2,0.5,0.975,0.489155,0.851907,0.046372,0.054434,0.317876,3.315627,0.318624,3.727131,0.131638,0.801795,0.551361,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,2,0.2,0.0,0.925,0.55273,0.449514,0.056844,0.126456,0.216156,2.049326,0.222887,2.71312,0.47644,0.774869,0.610504,1336,1337,True
