condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
no_shoes,cross_mask,0.375,0.6438933083762284,-0.029480580252690736,0.0,0.8357201170655221,0.0071775649840120515,-0.05944421858346737,0.6495086569957885,0.4300421151146467,0.18586027551803708,0.006237076623894011,0.19981282171268133,0.018717828731867104,0.0936768149882904,0.8046021219911066,2137,2137,2137,2137,0.2,0.05,50,True,1
no_imu_family,hard,0.975,0.40758072063640616,0.3766963032288255,0.36359382311651856,1.347470461747638,0.7641332857686958,0.8367801495211943,0.13289658399625642,0.7828731867103416,0.2832285531196245,0.0060056810141460165,0.8469817501169864,0.06598034627983154,0.07790055248618785,0.5688578186756507,2137,2137,2137,2137,0.2,0.05,50,True,1
no_imu_family,cross_mask,1.0,0.40758072063640616,0.04164716892840431,0.004211511464670137,1.347470461747638,0.009812767859183615,0.14458893335526968,0.37482452035563874,0.44922788956481047,0.2832285531196245,0.0060056810141460165,0.30744033692091716,0.0542817033224146,0.1765601217656012,0.8292618617015182,2137,2137,2137,2137,0.2,0.05,50,True,1
severe_three_sensors,hard,0.875,0.6120729995320543,0.1829667758540009,0.18717828731867103,1.0943877154096715,0.5312458307051048,0.5878195483762836,0.23350491343004212,0.7922321010762752,0.20136502740401357,0.006342765089225077,0.7650912494150679,0.06551240056153486,0.0856269113149847,0.5543536546087929,2137,2137,2137,2137,0.2,0.05,50,True,1
severe_three_sensors,cross_mask,0.0,0.6120729995320543,0.0,0.0,1.0943877154096715,0.0,0.0,0.0,0.4057089377632195,0.20136502740401357,0.006342765089225077,1.0,0.0,0.0,0.821522609145495,2137,2137,2137,2137,0.2,0.05,50,True,1
low_cost_accels_only,hard,1.0,0.6340664482919981,0.15535797847449695,0.16144127281235376,0.8897926435142495,0.3211575561504182,0.35506703604455536,0.23537669630322883,0.789424426766495,0.1944145169048049,0.005786653682996856,0.7912962096396818,0.09078146934955546,0.11472501478415138,0.56,2137,2137,2137,2137,0.2,0.05,50,True,2
low_cost_accels_only,cross_mask,0.15,0.6340664482919981,-0.008423022929340163,0.0009358914365933391,0.8897926435142495,-0.00012281033842064133,-0.022759739274973285,0.5095928872250819,0.41459990641085637,0.1944145169048049,0.005786653682996856,0.3462798315395414,0.03509592887225082,0.10135135135135136,0.7934599418636384,2137,2137,2137,2137,0.2,0.05,50,True,2
no_shoes,hard,0.875,0.6696303228825456,0.14599906410856334,0.13897987833411318,0.8042547492241079,0.2855946864972481,0.3418546022950356,0.28591483387927,0.8104819840898456,0.17962221287604677,0.005983631646496764,0.7075339260645765,0.0772110435189518,0.10912698412698413,0.5440771585368707,2137,2137,2137,2137,0.2,0.05,50,True,2
no_shoes,cross_mask,0.0,0.6696303228825456,0.0,0.0,0.8042547492241079,0.0,0.0,0.0,0.4047730463266261,0.17962221287604677,0.005983631646496764,1.0,0.0,0.0,0.7873361699202934,2137,2137,2137,2137,0.2,0.05,50,True,2
no_imu_family,hard,1.0,0.45952269536733736,0.3219466541881142,0.3107159569489939,2.185293768621903,1.3460517891478878,1.6409333090320684,0.20823584464202152,0.7814693495554516,0.33569852939625994,0.00785932624515322,0.7594759007955078,0.061300889096864764,0.0807147258163894,0.56,2137,2137,2137,2137,0.2,0.05,50,True,2
