family,dataset,condition,seed,exchangeable,alpha,target,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
ave,ave,eta0.4,2,True,0.2,hard,0.39552238805970147,0.14776119402985075,0.07164179104477619,0.45,0.07164179104477619
ave,ave,eta0.4,2,True,0.3,hard,0.5865671641791045,0.24925373134328357,0.07164179104477619,0.45,0.07164179104477619
ave,ave,eta0.4,2,True,0.5,hard,0.8477611940298507,0.4388059701492537,0.07164179104477619,0.45,0.07164179104477619
ave,ave,eta0.6,0,True,0.05,hard,0.17313432835820897,0.034328358208955224,0.10671641791044773,0.3888059701492537,0.15223880597014927
ave,ave,eta0.6,0,True,0.1,hard,0.3402985074626866,0.0873134328358209,0.14552238805970152,0.3888059701492537,0.15223880597014927
ave,ave,eta0.6,0,True,0.2,hard,0.5134328358208955,0.1582089552238806,0.15223880597014927,0.3888059701492537,0.15223880597014927
ave,ave,eta0.6,0,True,0.3,hard,0.6492537313432836,0.22611940298507463,0.15223880597014927,0.3888059701492537,0.15223880597014927
ave,ave,eta0.6,0,True,0.5,hard,0.9761194029850746,0.3723880597014925,0.15223880597014927,0.3888059701492537,0.15223880597014927
ave,ave,eta0.6,1,True,0.05,hard,0.1873134328358209,0.04626865671641791,0.08805970149253728,0.43283582089552236,0.09402985074626857
ave,ave,eta0.6,1,True,0.1,hard,0.29776119402985074,0.08880597014925373,0.09179104477611932,0.43283582089552236,0.09402985074626857
ave,ave,eta0.6,1,True,0.2,hard,0.49850746268656715,0.1761194029850746,0.09402985074626857,0.43283582089552236,0.09402985074626857
ave,ave,eta0.6,1,True,0.3,hard,0.7119402985074627,0.24104477611940298,0.09402985074626857,0.43283582089552236,0.09402985074626857
ave,ave,eta0.6,1,True,0.5,hard,0.9716417910447761,0.41194029850746267,0.09402985074626857,0.43283582089552236,0.09402985074626857
ave,ave,eta0.6,2,True,0.05,hard,0.1843283582089552,0.05522388059701493,0.07686567164179103,0.4082089552238806,0.10671641791044773
ave,ave,eta0.6,2,True,0.1,hard,0.2947761194029851,0.0873134328358209,0.09850746268656707,0.4082089552238806,0.10671641791044773
ave,ave,eta0.6,2,True,0.2,hard,0.45223880597014926,0.15671641791044777,0.10447761194029848,0.4082089552238806,0.10671641791044773
ave,ave,eta0.6,2,True,0.3,hard,0.5783582089552238,0.2044776119402985,0.10671641791044773,0.4082089552238806,0.10671641791044773
ave,ave,eta0.6,2,True,0.5,hard,0.9798507462686568,0.3977611940298508,0.10671641791044773,0.4082089552238806,0.10671641791044773
ave,ave,eta0.8,0,True,0.05,hard,0.18059701492537314,0.03955223880597015,0.11343283582089558,0.373134328358209,0.18134328358208962
ave,ave,eta0.8,0,True,0.1,hard,0.3619402985074627,0.08582089552238806,0.17313432835820897,0.373134328358209,0.18134328358208962
ave,ave,eta0.8,0,True,0.2,hard,0.5723880597014925,0.16716417910447762,0.18134328358208962,0.373134328358209,0.18134328358208962
ave,ave,eta0.8,0,True,0.3,hard,0.8029850746268656,0.23134328358208955,0.18134328358208962,0.373134328358209,0.18134328358208962
ave,ave,eta0.8,0,True,0.5,hard,0.9649253731343284,0.35074626865671643,0.18134328358208962,0.373134328358209,0.18134328358208962
ave,ave,eta0.8,1,True,0.05,hard,0.2082089552238806,0.05,0.10000000000000009,0.40746268656716417,0.11567164179104483
ave,ave,eta0.8,1,True,0.1,hard,0.31791044776119404,0.09253731343283582,0.10970149253731343,0.40746268656716417,0.11567164179104483
ave,ave,eta0.8,1,True,0.2,hard,0.5134328358208955,0.16865671641791044,0.11567164179104483,0.40746268656716417,0.11567164179104483
