dataset,condition,is_null,seed,measure,certify,beta,base_acc,d_acc,loss_gain,apply_rate,joint_harm,cond_harm
drugban_bindingdb_random_s42,full,1,1,on,off,0.175,0.907419,-0.000102,0.05615,1.0,0.279065,0.279065
drugban_bindingdb_random_s42,full,1,1,off,on,1.0,0.907419,-0.043902,-0.044008,0.348577,0.076626,0.219825
drugban_bindingdb_random_s42,full,1,1,off,off,1.0,0.907419,-0.063618,-0.082206,1.0,0.673272,0.673272
drugban_bindingdb_random_s42,full,1,2,on,on,0.175,0.907419,0.000102,0.032124,0.668089,0.001728,0.002586
drugban_bindingdb_random_s42,full,1,2,on,off,0.175,0.907419,-0.000102,0.05615,1.0,0.279065,0.279065
drugban_bindingdb_random_s42,full,1,2,off,on,1.0,0.907419,-0.043902,-0.044008,0.348577,0.076626,0.219825
drugban_bindingdb_random_s42,full,1,2,off,off,1.0,0.907419,-0.063618,-0.082206,1.0,0.673272,0.673272
drugban_bindingdb_random_s42,prot50,0,0,on,on,0.4,0.840752,0.001931,0.008299,0.372561,0.008537,0.022913
drugban_bindingdb_random_s42,prot50,0,0,on,off,0.4,0.840752,0.00752,0.091727,1.0,0.507012,0.507012
drugban_bindingdb_random_s42,prot50,0,0,off,on,1.0,0.840752,-0.02439,0.017484,0.391057,0.101118,0.258576
drugban_bindingdb_random_s42,prot50,0,0,off,off,1.0,0.840752,-0.027846,0.017949,1.0,0.636585,0.636585
drugban_bindingdb_random_s42,prot50,0,1,on,on,0.375,0.840752,0.001423,0.008144,0.378557,0.00813,0.021477
drugban_bindingdb_random_s42,prot50,0,1,on,off,0.375,0.840752,0.006911,0.092002,1.0,0.500915,0.500915
drugban_bindingdb_random_s42,prot50,0,1,off,on,1.0,0.840752,-0.02439,0.017484,0.391057,0.101118,0.258576
drugban_bindingdb_random_s42,prot50,0,1,off,off,1.0,0.840752,-0.027846,0.017949,1.0,0.636585,0.636585
drugban_bindingdb_random_s42,prot50,0,2,on,on,0.4,0.840752,0.002033,0.00835,0.373069,0.008638,0.023154
drugban_bindingdb_random_s42,prot50,0,2,on,off,0.4,0.840752,0.00752,0.091727,1.0,0.507012,0.507012
drugban_bindingdb_random_s42,prot50,0,2,off,on,1.0,0.840752,-0.02439,0.017484,0.391057,0.101118,0.258576
drugban_bindingdb_random_s42,prot50,0,2,off,off,1.0,0.840752,-0.027846,0.017949,1.0,0.636585,0.636585
drugban_bindingdb_random_s42,prot25,0,0,on,on,0.825,0.704878,0.073984,0.147869,0.372764,0.060976,0.163577
drugban_bindingdb_random_s42,prot25,0,0,on,off,0.825,0.704878,0.072256,0.257176,1.0,0.539533,0.539533
drugban_bindingdb_random_s42,prot25,0,0,off,on,1.0,0.704878,0.06189,0.188035,0.435772,0.104167,0.239039
drugban_bindingdb_random_s42,prot25,0,0,off,off,1.0,0.704878,0.047459,0.24471,1.0,0.548679,0.548679
drugban_bindingdb_random_s42,prot25,0,1,on,on,0.8,0.704878,0.074898,0.14032,0.363618,0.05437,0.149525
drugban_bindingdb_random_s42,prot25,0,1,on,off,0.8,0.704878,0.073577,0.257642,1.0,0.536789,0.536789
drugban_bindingdb_random_s42,prot25,0,1,off,on,1.0,0.704878,0.06189,0.188035,0.435772,0.104167,0.239039
drugban_bindingdb_random_s42,prot25,0,1,off,off,1.0,0.704878,0.047459,0.24471,1.0,0.548679,0.548679
drugban_bindingdb_random_s42,prot25,0,2,on,on,0.8,0.704878,0.07561,0.140341,0.361484,0.052947,0.146472
drugban_bindingdb_random_s42,prot25,0,2,on,off,0.8,0.704878,0.073577,0.257642,1.0,0.536789,0.536789
drugban_bindingdb_random_s42,prot25,0,2,off,on,1.0,0.704878,0.06189,0.188035,0.435772,0.104167,0.239039
drugban_bindingdb_random_s42,prot25,0,2,off,off,1.0,0.704878,0.047459,0.24471,1.0,0.548679,0.548679
