host,mask,seed,cls,n_test_cls,n_applied_cls,joint_harm_cls,cond_harm_cls,joint_harm_overall
tmdc_iemocap4,av,2,3,72,64,0.0,0.0,0.0
tmdc_iemocap4,at,0,0,84,2,0.0,0.0,0.01662
tmdc_iemocap4,at,0,1,68,6,0.0,0.0,0.01662
tmdc_iemocap4,at,0,2,132,7,0.045455,0.857143,0.01662
tmdc_iemocap4,at,0,3,77,0,0.0,0.0,0.01662
tmdc_iemocap4,at,1,0,102,7,0.0,0.0,0.00277
tmdc_iemocap4,at,1,1,65,14,0.0,0.0,0.00277
tmdc_iemocap4,at,1,2,118,5,0.008475,0.2,0.00277
tmdc_iemocap4,at,1,3,76,4,0.0,0.0,0.00277
tmdc_iemocap4,at,2,0,85,7,0.0,0.0,0.01108
tmdc_iemocap4,at,2,1,69,13,0.0,0.0,0.01108
tmdc_iemocap4,at,2,2,135,7,0.02963,0.571429,0.01108
tmdc_iemocap4,at,2,3,72,0,0.0,0.0,0.01108
tmdc_iemocap4,tv,0,0,84,10,0.0,0.0,0.0
tmdc_iemocap4,tv,0,1,68,0,0.0,0.0,0.0
tmdc_iemocap4,tv,0,2,132,2,0.0,0.0,0.0
tmdc_iemocap4,tv,0,3,77,0,0.0,0.0,0.0
tmdc_iemocap4,tv,1,0,102,16,0.0,0.0,0.0
tmdc_iemocap4,tv,1,1,65,0,0.0,0.0,0.0
tmdc_iemocap4,tv,1,2,118,1,0.0,0.0,0.0
tmdc_iemocap4,tv,1,3,76,0,0.0,0.0,0.0
tmdc_iemocap4,tv,2,0,85,11,0.0,0.0,0.0
tmdc_iemocap4,tv,2,1,69,0,0.0,0.0,0.0
tmdc_iemocap4,tv,2,2,135,3,0.0,0.0,0.0
tmdc_iemocap4,tv,2,3,72,1,0.0,0.0,0.0
tmdc_iemocap4,atv,0,0,84,35,0.0,0.0,0.022161
tmdc_iemocap4,atv,0,1,68,31,0.014706,0.032258,0.022161
tmdc_iemocap4,atv,0,2,132,16,0.05303,0.4375,0.022161
tmdc_iemocap4,atv,0,3,77,4,0.0,0.0,0.022161
tmdc_iemocap4,atv,1,0,102,50,0.0,0.0,0.022161
tmdc_iemocap4,atv,1,1,65,37,0.0,0.0,0.022161
tmdc_iemocap4,atv,1,2,118,24,0.067797,0.333333,0.022161
tmdc_iemocap4,atv,1,3,76,13,0.0,0.0,0.022161
tmdc_iemocap4,atv,2,0,85,31,0.0,0.0,0.019391
tmdc_iemocap4,atv,2,1,69,33,0.014493,0.030303,0.019391
tmdc_iemocap4,atv,2,2,135,17,0.037037,0.294118,0.019391
tmdc_iemocap4,atv,2,3,72,2,0.013889,0.5,0.019391
