condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed,host
at,hard,0.325,0.7700831024930748,-0.008310249307479145,-0.005540166204986097,0.8777547575159849,0.0194715834255938,0.1862043487565672,0.7867036011080333,0.5041551246537396,0.06247572786754323,0.011986741812543328,0.40443213296398894,0.27146814404432135,0.6712328767123288,0.3004323965448413,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
at,cross_mask,0.35000000000000003,0.7700831024930748,-0.011080332409972304,-0.008310249307479145,0.8777547575159849,0.054299778577061454,0.18592623907792463,0.7728531855955678,0.4986149584487535,0.06247572786754323,0.011986741812543328,0.3628808864265928,0.2520775623268698,0.6946564885496184,0.29878078889344595,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
at,hard,0.25,0.7451523545706371,0.0027700831024930483,0.0027700831024930483,0.9842538207294098,0.041574166501730694,0.25547083082779204,0.6842105263157895,0.5457063711911357,0.0717924921326834,0.01279795378402554,0.3739612188365651,0.1994459833795014,0.5333333333333333,0.2713711868478562,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
at,cross_mask,0.275,0.7451523545706371,0.0027700831024930483,0.0,0.9842538207294098,0.07651355737735979,0.26754071760600795,0.7146814404432132,0.5401662049861495,0.0717924921326834,0.01279795378402554,0.3074792243767313,0.16066481994459833,0.5225225225225225,0.2950814274966027,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
at,hard,0.275,0.7146814404432132,0.005540166204986208,0.011080332409972304,1.0154249990960842,0.02486119032985651,0.24427594889791646,0.6869806094182825,0.518005540166205,0.0806411635600644,0.013946626772336396,0.32132963988919666,0.20221606648199447,0.6293103448275862,0.2988230368945932,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
at,cross_mask,0.30000000000000004,0.7146814404432132,0.011080332409972304,0.013850415512465464,1.0154249990960842,0.05013384484833532,0.2528715499931647,0.7119113573407202,0.5096952908587258,0.0806411635600644,0.013946626772336396,0.3157894736842105,0.19667590027700832,0.6228070175438597,0.29515080148512973,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
tv,hard,0.35000000000000003,0.7451523545706371,-0.0027700831024930483,0.0,1.2930134784584382,0.16766847491058456,0.5053225015109505,0.739612188365651,0.5401662049861495,0.1095287573002608,0.01431644493107052,0.3490304709141274,0.21606648199445982,0.6190476190476191,0.29324728963522817,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
tv,cross_mask,0.325,0.7451523545706371,-0.0027700831024930483,-0.0027700831024930483,1.2930134784584382,0.17380804356451798,0.4992784529664654,0.7340720221606648,0.4986149584487535,0.1095287573002608,0.01431644493107052,0.3157894736842105,0.20221606648199447,0.6403508771929824,0.2899430609878623,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
tv,hard,0.325,0.7063711911357341,0.0027700831024930483,0.005540166204986097,1.3856819898320418,0.08010393677055866,0.5584434094622438,0.6869806094182825,0.5457063711911357,0.09973137805896512,0.01324586240047682,0.2659279778393352,0.14127423822714683,0.53125,0.29309387982693164,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
tv,cross_mask,0.325,0.7063711911357341,0.0027700831024930483,0.005540166204986097,1.3856819898320418,0.09833525479960586,0.5529907960397568,0.6897506925207756,0.5263157894736842,0.09973137805896512,0.01324586240047682,0.2659279778393352,0.13573407202216067,0.5104166666666666,0.2988095785836509,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
tv,hard,0.35000000000000003,0.7174515235457064,-0.0027700831024931594,-0.0027700831024931594,1.416699248627737,0.10856164788216176,0.5828670684404987,0.7119113573407202,0.5373961218836565,0.10068542432580875,0.014146787023370027,0.3074792243767313,0.18282548476454294,0.5945945945945946,0.289455940855488,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
tv,cross_mask,0.325,0.7174515235457064,-0.0027700831024931594,0.0,1.416699248627737,0.09042503039255607,0.5742667364460873,0.7146814404432132,0.481994459833795,0.10068542432580875,0.014146787023370027,0.24930747922437674,0.1523545706371191,0.6111111111111112,0.29059589804052416,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
atv,hard,0.17500000000000002,0.7811634349030471,0.0027700831024930483,0.0027700831024930483,0.6722672749778861,0.007054456666281654,0.06811191659878343,0.6232686980609419,0.6094182825484764,0.05343215096630184,0.011289236219415891,0.3684210526315789,0.22160664819944598,0.6015037593984962,0.23048046412049059,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
atv,cross_mask,0.17500000000000002,0.7811634349030471,0.005540166204986208,0.005540166204986208,0.6722672749778861,0.006183228529900384,0.06679163574894144,0.6592797783933518,0.5955678670360111,0.05343215096630184,0.011289236219415891,0.3739612188365651,0.22160664819944598,0.5925925925925926,0.21920946951875453,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
atv,hard,0.15000000000000002,0.7673130193905817,-0.0027700831024930483,-0.0027700831024930483,0.719071900031903,0.011478998585209161,0.10110732266136391,0.5124653739612188,0.6232686980609419,0.06365503347774194,0.011457174179712764,0.3878116343490305,0.16620498614958448,0.42857142857142855,0.22825549707334739,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
atv,cross_mask,0.15000000000000002,0.7673130193905817,0.0,0.0,0.719071900031903,0.01064604992321884,0.10300311157563548,0.5318559556786704,0.6232686980609419,0.06365503347774194,0.011457174179712764,0.41274238227146814,0.18005540166204986,0.436241610738255,0.23163830846944963,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
atv,hard,0.2,0.7368421052631579,0.011080332409972304,0.011080332409972304,0.7969718504554304,0.029050911080961396,0.09770408148840698,0.592797783933518,0.5844875346260388,0.07072579987445377,0.0132049685391282,0.3684210526315789,0.19667590027700832,0.5338345864661654,0.2632632979781321,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
atv,cross_mask,0.2,0.7368421052631579,0.011080332409972304,0.011080332409972304,0.7969718504554304,0.02092322427986175,0.09624501236040356,0.6066481994459834,0.5817174515235457,0.07072579987445377,0.0132049685391282,0.37119113573407203,0.1883656509695291,0.5074626865671642,0.2684436606561878,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
