condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,notes,seed,design,protocol,base_acc,base_wf1,blanket_acc,blanket_wf1,gated_acc,gated_wf1
severe_three_sensors,hard,0.95,0.5519820493642483,0.25878833208676144,0.24906507105459985,3.7824013420039706,2.638842690167687,3.224967804646927,0.418848167539267,0.8077786088257293,0.36106333497791565,0.012753809417295474,0.5272999252056844,0.05385190725504862,0.10212765957446808,0.5629989460601516,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.5519820493642483,0.4825830817650162,0.8107703814510098,0.8096337960320213,0.8010471204188482,0.7990919987876188
severe_three_sensors,cross_mask,0.925,0.5519820493642483,0.01196709050112188,0.005235602094240788,3.7824013420039706,0.42600747683451146,2.5579326688813646,0.4472700074794316,0.5452505609573672,0.36106333497791565,0.012753809417295474,0.23261032161555723,0.020942408376963352,0.09003215434083602,0.8690733272138184,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.5519820493642483,0.4825830817650162,0.5639491398653702,0.5433582674873674,0.5572176514584891,0.510462892390531
low_cost_accels_only,hard,0.925,0.4816753926701571,0.28870605833956614,0.28047868362004486,1.9959145170284174,1.1206703262042954,1.4039880549116743,0.3298429319371728,0.774869109947644,0.3319063642093861,0.01089929556552335,0.605833956619297,0.05385190725504862,0.08888888888888889,0.6096985931392078,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.4816753926701571,0.4820646016334955,0.7703814510097232,0.7689067235244094,0.7621540762902019,0.7611538298282865
low_cost_accels_only,cross_mask,1.0,0.4816753926701571,0.15407629020194463,0.16529543754674642,1.9959145170284174,0.07505608606033952,0.4255813766263268,0.46148092744951386,0.6357516828721017,0.3319063642093861,0.01089929556552335,0.5220643231114436,0.13911742707554225,0.2664756446991404,0.7382801793393727,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.4816753926701571,0.4820646016334955,0.6357516828721017,0.6024215942798159,0.6469708302169035,0.6176481607175132
low_cost_accels_only,hard,0.85,0.4532535527299925,0.29020194465220644,0.2991772625280478,4.849360324812069,3.5469756877955123,4.24749060114305,0.37920718025430067,0.7329842931937173,0.43948924121100363,0.012863647554390414,0.5542258788332087,0.05385190725504862,0.09716599190283401,0.6120114688527084,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.4532535527299925,0.322501972834066,0.743455497382199,0.7352070513162128,0.7524308152580403,0.7330618337642315
low_cost_accels_only,cross_mask,1.0,0.4532535527299925,0.15033657442034404,0.13313388182498126,4.849360324812069,2.143761102854121,3.4589234780621387,0.3388182498130142,0.6035901271503366,0.43948924121100363,0.012863647554390414,0.45923709798055345,0.011219147344801795,0.024429967426710098,0.7906595052799209,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.4532535527299925,0.322501972834066,0.6035901271503366,0.5650638853427583,0.5863874345549738,0.5307165824483855
no_shoes,hard,1.0,0.599850411368736,0.18100224382946895,0.17875841436050866,3.028595261811014,1.8503260586761416,2.44643431377835,0.4113687359760658,0.7808526551982049,0.314931687555386,0.011922565899891073,0.5467464472700074,0.05983545250560957,0.1094391244870041,0.5800000000000001,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.599850411368736,0.6075580425932857,0.7808526551982049,0.7809371610719493,0.7786088257292446,0.7780670241875639
no_shoes,cross_mask,1.0,0.599850411368736,0.0732984293193717,0.0718025430067315,3.028595261811014,0.9266313789854763,1.724258475611676,0.5160807778608826,0.6731488406881077,0.314931687555386,0.011922565899891073,0.45400149588631267,0.11967090501121914,0.26359143327841844,0.7973526130544241,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.599850411368736,0.6075580425932857,0.6731488406881077,0.6414812885193875,0.6716529543754675,0.6581847651905394
no_shoes,hard,1.0,0.5385190725504861,0.26551982049364253,0.25953627524308154,2.849175779504792,1.7731690728663907,2.286881822416567,0.3724756918474196,0.8040388930441287,0.35740059251576456,0.012075430893792146,0.5908750934928946,0.06581899775617053,0.11139240506329114,0.56,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.5385190725504861,0.49814313086671275,0.8040388930441287,0.8002949952772359,0.7980553477935677,0.7919183520756448
no_shoes,cross_mask,1.0,0.5385190725504861,0.09349289454001497,0.074794315632012,2.849175779504792,0.38561964411581057,1.3259197349114966,0.4913986537023186,0.6320119670905011,0.35740059251576456,0.012075430893792146,0.3994016454749439,0.09723261032161555,0.24344569288389514,0.7946342189044123,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.5385190725504861,0.49814313086671275,0.6320119670905011,0.5928783967607985,0.6133133881824981,0.5656098667293681
no_imu_family,hard,0.925,0.5407629020194465,0.22213911742707548,0.2041884816753926,3.41387809995473,2.127134213988602,2.834941700896376,0.47344801795063574,0.7449513836948392,0.362159236538034,0.012589617397759838,0.4712041884816754,0.08077786088257292,0.17142857142857143,0.5928385237617819,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.5407629020194465,0.4703174413082068,0.762902019446522,0.764592469020162,0.7449513836948392,0.7418219789374751
no_imu_family,cross_mask,1.0,0.5407629020194465,0.09349289454001497,0.0703066566940912,3.41387809995473,0.5499044209184376,1.9869379633954372,0.42109199700822736,0.6342557965594615,0.362159236538034,0.012589617397759838,0.3807030665669409,0.055347793567688854,0.14538310412573674,0.8050662750689712,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.5407629020194465,0.4703174413082068,0.6342557965594615,0.5956904965194121,0.6110695587135377,0.5666513444523169
no_imu_family,hard,0.95,0.5519820493642483,0.22961854899027678,0.22961854899027678,2.5757886089914597,1.8245816347273285,2.031366102710689,0.4824233358264772,0.7756170531039641,0.3339284868401905,0.012149269138172311,0.5467464472700074,0.11518324607329843,0.2106703146374829,0.5873563111387862,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.5519820493642483,0.4722479817357876,0.7816005983545251,0.7834287667276731,0.7816005983545251,0.7831217175196654
no_imu_family,cross_mask,1.0,0.5519820493642483,0.10770381451009725,0.10246821241585635,2.5757886089914597,0.5239357216586014,1.1546248303025122,0.4263275991024682,0.6596858638743456,0.3339284868401905,0.012149269138172311,0.456245325355273,0.0800299177262528,0.17540983606557378,0.7855020070933886,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.5519820493642483,0.4722479817357876,0.6596858638743456,0.6313219378439118,0.6544502617801047,0.6078558845743524
severe_three_sensors,hard,0.875,0.6896035901271503,0.11518324607329844,0.11069558713537775,2.6509368562830913,1.2901642444784296,2.078076971060955,0.5602094240837696,0.7599102468212415,0.22208389727505712,0.010927386436291304,0.36200448765893795,0.04786836200448766,0.1322314049586777,0.527482043726499,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.6896035901271503,0.6828135455670308,0.8047868362004488,0.8040167706980884,0.8002991772625281,0.7994781717204131
severe_three_sensors,cross_mask,0.825,0.6896035901271503,-0.002243829468960401,0.005983545250560995,2.6509368562830913,0.4949097838549851,1.5302237100885814,0.5774121166791324,0.6716529543754675,0.22208389727505712,0.010927386436291304,0.2131637995512341,0.005235602094240838,0.02456140350877193,0.834745345577685,1336,1336,1336,1337,0.2,0.05,50,True,[],2,condition_specialist,deployment,0.6896035901271503,0.6828135455670308,0.6873597606581899,0.6609490807053602,0.6955871353777113,0.687708444535326
severe_three_sensors,hard,0.95,0.39267015706806285,0.44577412116679127,0.4308152580403889,6.441739669129464,4.9353073833017405,5.888749747633009,0.29768137621540763,0.8369483919222139,0.5338602721399346,0.013432160319575831,0.6207928197456993,0.033657442034405384,0.05421686746987952,0.543989670373276,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.39267015706806285,0.22143053970003546,0.8384442782348541,0.8374103688959295,0.8234854151084517,0.8224701544561882
severe_three_sensors,cross_mask,1.0,0.39267015706806285,0.26327599102468213,0.17651458489154825,6.441739669129464,2.7242840293133517,4.985645106193811,0.27299925205684367,0.655946148092745,0.5338602721399346,0.013432160319575831,0.4644727000747943,0.0037397157816005983,0.008051529790660225,0.7717586608401,1336,1336,1336,1337,0.2,0.05,50,True,[],2,full_masked,deployment,0.39267015706806285,0.22143053970003546,0.655946148092745,0.6230311496904251,0.5691847419596111,0.5151829592731645
