mask,richer,quality,target,n_labels,mse_gain,beta,d_sign_acc,contraction,seed
v,av,weak,hard,200,0.009407861997707379,0.225,-0.006906077348066253,0.25142560341032205,2
v,av,weak,hard,500,0.011246982328258603,0.4,-0.010497237569060736,0.25142560341032205,0
v,av,weak,hard,500,0.013419781893637905,0.65,-0.008287292817679592,0.25142560341032205,1
v,av,weak,hard,500,0.00646682327795145,0.525,-0.016298342541436472,0.25142560341032205,2
v,av,weak,hard,1500,0.014278451221947819,0.5,-0.0008287292817679148,0.25142560341032205,0
v,av,weak,hard,1500,0.023425645624745917,0.55,0.001933701657458542,0.25142560341032205,1
v,av,weak,hard,1500,0.010392800695613325,0.55,-0.007734806629834279,0.25142560341032205,2
v,av,weak,hard,16265,0.03170205908852641,0.675,0.021270718232044183,0.25142560341032205,0
av,tav,good,cross_mask,0,0.049310711036504085,0.7000000000000001,0.02845303867403315,0.2642477317691877,-1
av,tav,good,hard,50,0.003270866627377078,0.35000000000000003,0.0033149171270718814,0.2642477317691877,0
av,tav,good,hard,50,0.0046746300140907415,0.25,0.0002762430939227123,0.2642477317691877,1
av,tav,good,hard,50,0.00489903781533485,0.25,-0.0022099447513812542,0.2642477317691877,2
av,tav,good,hard,100,0.005101617622021992,0.47500000000000003,0.0044198895027623974,0.2642477317691877,0
av,tav,good,hard,100,0.005778723971463506,0.42500000000000004,0.0013812154696132284,0.2642477317691877,1
av,tav,good,hard,100,0.005715478791112449,0.15000000000000002,-0.0024861878453038555,0.2642477317691877,2
av,tav,good,hard,200,0.0022321655195989276,0.47500000000000003,0.0074585635359115665,0.2642477317691877,0
av,tav,good,hard,200,0.011198712868677463,0.525,0.00939226519337022,0.2642477317691877,1
av,tav,good,hard,200,0.008026108012443078,0.225,-0.006353591160220939,0.2642477317691877,2
av,tav,good,hard,500,0.011924621579206152,0.5,-0.0013812154696132284,0.2642477317691877,0
av,tav,good,hard,500,0.010260618334157146,0.5,-0.0033149171270717703,0.2642477317691877,1
av,tav,good,hard,500,0.013156581541374113,0.42500000000000004,-0.004972375690607711,0.2642477317691877,2
av,tav,good,hard,1500,0.015273041683522282,0.55,0.008563535911602194,0.2642477317691877,0
av,tav,good,hard,1500,0.01788964966508111,0.47500000000000003,0.00801104972375688,0.2642477317691877,1
av,tav,good,hard,1500,0.018183446016684535,0.55,0.0013812154696132284,0.2642477317691877,2
av,tav,good,hard,16265,0.050736233422711274,0.7250000000000001,0.024585635359116065,0.2642477317691877,0
