condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
no_shoes,hard,0.2,0.6438933083762284,0.002807674309780017,0.0,0.835720117065522,4.0339391881592336e-05,0.024560017836280403,0.6495086569957885,0.4754328497894244,0.1852935026274424,0.006182060915879984,0.058961160505381374,0.0028076743097800653,0.047619047619047616,0.7250629210758209,100,100,100,2137,0.2,0.05,50,True,1
no_shoes,cross_mask,0.1,0.6438933083762284,-0.0028076743097801282,-0.0014038371548900086,0.835720117065522,-0.0014800650941079376,-0.01294201203898783,0.6551240056153487,0.39354234908750585,0.1852935026274424,0.006182060915879984,0.15676181562938699,0.012634534394010294,0.08059701492537313,0.7516658611487412,100,100,100,2137,0.2,0.05,50,True,1
no_imu_family,hard,0.75,0.40758072063640616,0.15021057557323347,0.1244735610669162,1.347470461747638,0.19529908490571846,0.2539644911172024,0.357042583060365,0.48479176415535796,0.28575031176404164,0.005965290385858246,0.3841834347215723,0.013102480112306972,0.0341047503045067,0.7592987917456776,100,100,100,2137,0.2,0.05,50,True,1
no_imu_family,cross_mask,0.4,0.40758072063640616,0.008423022929340218,0.0,1.347470461747638,0.00010379107792528852,0.05453172568022364,0.5484323818437061,0.4319138979878334,0.28575031176404164,0.005965290385858246,0.005615348619560131,0.0004679457182966776,0.08333333333333333,0.8631657729431614,100,100,100,2137,0.2,0.05,50,True,1
severe_three_sensors,hard,0.45,0.6120729995320543,0.0065512400561534845,0.00046794571829666953,1.0943877154096713,-8.535112157512477e-05,0.0875124072537879,0.6644829199812822,0.5624707533926064,0.20373813266267138,0.006339252659813833,0.007487131492746842,0.0004679457182966776,0.0625,0.8117725706984104,100,100,100,2137,0.2,0.05,50,True,1
severe_three_sensors,cross_mask,0.275,0.6120729995320543,-0.018249883013570445,0.0,1.0943877154096713,-2.096388621403143e-05,0.032259466034421945,0.7449695835283107,0.2522227421619092,0.20373813266267138,0.006339252659813833,0.0009358914365933552,0.0,0.0,0.873138155724369,100,100,100,2137,0.2,0.05,50,True,1
low_cost_accels_only,hard,0.07500000000000001,0.6340664482919981,0.0018717828731867892,0.0018717828731867892,0.8897926435142495,0.004620143445224652,0.024430300240833674,0.27187646233036966,0.42629854936827327,0.18643489315440578,0.005726414475356892,0.557323350491343,0.0,0.0,0.8178895745649933,100,100,100,2137,0.2,0.05,50,True,2
low_cost_accels_only,cross_mask,0.0,0.6340664482919981,0.0,0.0,0.8897926435142495,0.0,0.0,0.0,0.3734206832007487,0.18643489315440578,0.005726414475356892,1.0,0.0,0.0,0.8128535941243171,100,100,100,2137,0.2,0.05,50,True,2
no_shoes,hard,0.125,0.6696303228825456,0.0023397285914833477,0.0009358914365933391,0.8042547492241078,-0.0018318492928953525,0.036864979351305435,0.5025737014506317,0.42629854936827327,0.1718491783432522,0.005920211333626005,0.2339728591483388,0.005147402901263453,0.022,0.7114326621077955,100,100,100,2137,0.2,0.05,50,True,2
no_shoes,cross_mask,0.0,0.6696303228825456,0.0,0.0,0.8042547492241078,0.0,0.0,0.0,0.37201684604585866,0.1718491783432522,0.005920211333626005,1.0,0.0,0.0,0.7164949825406075,100,100,100,2137,0.2,0.05,50,True,2
