condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
no_shoes,hard,0.9,0.6196261682242991,0.12710280373831773,0.11588785046728978,0.8779143436282036,0.21821794237210262,0.2999578017655246,0.3560747663551402,0.7532710280373832,0.1809837761171252,0.008685794701729466,0.6364485981308411,0.10467289719626169,0.1644640234948605,0.6000777266400583,1068,1068,1068,1070,0.2,0.05,50,True,1
no_shoes,cross_mask,0.025,0.6196261682242991,-0.002803738317757043,-0.002803738317757043,0.8779143436282036,0.004500834169848442,0.004500834169848442,0.0,0.41401869158878507,0.1809837761171252,0.008685794701729466,1.0,0.0,0.0,0.787316814314441,1068,1068,1068,1070,0.2,0.05,50,True,1
no_imu_family,hard,0.9750000000000001,0.4205607476635514,0.30934579439252335,0.30280373831775703,1.3262740697483597,0.653253671634869,0.7135317464234838,0.19813084112149532,0.72803738317757,0.2748441095640662,0.00841486948447245,0.811214953271028,0.08504672897196262,0.10483870967741936,0.6092130168192157,1068,1068,1068,1070,0.2,0.05,50,True,1
no_imu_family,cross_mask,1.0,0.4205607476635514,0.020560747663551426,0.003738317757009335,1.3262740697483597,-0.016646697235662377,0.10546472822094434,0.4252336448598131,0.4411214953271028,0.2748441095640662,0.00841486948447245,0.2588785046728972,0.0691588785046729,0.26714801444043323,0.8281124474122171,1068,1068,1068,1070,0.2,0.05,50,True,1
severe_three_sensors,hard,0.9500000000000001,0.602803738317757,0.15700934579439252,0.16168224299065415,1.1058644458465434,0.46454337725826617,0.4841865708898171,0.34205607476635513,0.7514018691588785,0.1948469222858258,0.009262836963330145,0.6542056074766355,0.07383177570093458,0.11285714285714285,0.6109253511912144,1068,1068,1068,1070,0.2,0.05,50,True,1
severe_three_sensors,cross_mask,0.275,0.602803738317757,-0.020560747663551426,0.0,1.1058644458465434,-0.002571938995277747,0.09070964499632111,0.6364485981308411,0.3794392523364486,0.1948469222858258,0.009262836963330145,0.07570093457943926,0.012149532710280374,0.16049382716049382,0.8415515634894991,1068,1068,1068,1070,0.2,0.05,50,True,1
low_cost_accels_only,hard,0.9500000000000001,0.6233644859813084,0.11495327102803732,0.11495327102803732,0.9036498666280715,0.22971421815180185,0.31613152714647325,0.29345794392523367,0.7373831775700934,0.17737227533174832,0.007830887621883689,0.697196261682243,0.102803738317757,0.14745308310991956,0.62598948297072,1068,1068,1068,1070,0.2,0.05,50,True,2
low_cost_accels_only,cross_mask,0.0,0.6233644859813084,0.0,0.0,0.9036498666280715,0.0,0.0,0.0,0.3878504672897196,0.17737227533174832,0.007830887621883689,1.0,0.0,0.0,0.7548903005288334,1068,1068,1068,1070,0.2,0.05,50,True,2
no_shoes,hard,0.925,0.6467289719626168,0.11962616822429906,0.10654205607476641,0.8457794403679498,0.20202276776023928,0.2914919739070631,0.3102803738317757,0.7560747663551401,0.1708217102010859,0.008069752110098312,0.6476635514018692,0.07570093457943926,0.11688311688311688,0.6237744158585083,1068,1068,1068,1070,0.2,0.05,50,True,2
no_shoes,cross_mask,0.0,0.6467289719626168,0.0,0.0,0.8457794403679498,0.0,0.0,0.0,0.3981308411214953,0.1708217102010859,0.008069752110098312,1.0,0.0,0.0,0.7701757397321279,1068,1068,1068,1070,0.2,0.05,50,True,2
no_imu_family,hard,0.9750000000000001,0.4588785046728972,0.27943925233644856,0.25327102803738316,2.2691371057130607,1.1459270419983,1.6615947841431788,0.23925233644859814,0.7373831775700934,0.3265211469939915,0.011197926712474783,0.6644859813084112,0.05420560747663551,0.08157524613220815,0.6478877994409493,1068,1068,1068,1070,0.2,0.05,50,True,2
no_imu_family,cross_mask,1.0,0.4588785046728972,-0.04579439252336448,0.003738317757009335,2.2691371057130607,0.04536611784979814,0.857268547244853,0.3897196261682243,0.4130841121495327,0.3265211469939915,0.011197926712474783,0.20373831775700935,0.02336448598130841,0.11467889908256881,0.9054772210675065,1068,1068,1068,1070,0.2,0.05,50,True,2
severe_three_sensors,hard,0.9750000000000001,0.5897196261682243,0.16542056074766354,0.16915887850467293,1.102249943205783,0.42718645613516393,0.4473579663227901,0.32897196261682243,0.7485981308411215,0.2070097893855438,0.008812123534423814,0.6682242990654206,0.07757009345794393,0.11608391608391608,0.6162919309699576,1068,1068,1068,1070,0.2,0.05,50,True,2
severe_three_sensors,cross_mask,0.15000000000000002,0.5897196261682243,-0.015887850467289688,0.0009345794392523477,1.102249943205783,0.009452776219119559,0.05208130976724704,0.4803738317757009,0.36542056074766355,0.2070097893855438,0.008812123534423814,0.2766355140186916,0.004672897196261682,0.016891891891891893,0.8334991676421785,1068,1068,1068,1070,0.2,0.05,50,True,2
