condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed
no_shoes,hard,0.95,0.6233036967711746,0.02421619092185301,0.0321712681328965,1.008155641629898,0.1550975555836006,0.1630041708829865,0.4175245671502106,0.6451801591015442,0.22635625930968425,0.004157822724704498,0.7586569957884886,0.23993916705662144,0.31626831148804935,0.43908160875518076,3793,3793,3793,8548,0.2,0.05,50,False,1
no_shoes,cross_mask,1.0,0.6233036967711746,0.022812353766963,0.02164248947122127,1.008155641629898,0.0727411288021053,0.1566162426205246,0.41869443144595225,0.6461160505381376,0.22635625930968425,0.004157822724704498,0.6676415535797847,0.18776321946654187,0.2812335728053268,0.7121533428416228,3793,3793,3793,8548,0.2,0.05,50,False,1
no_imu_family,hard,0.8,0.39939167056621433,0.24321478708469818,0.17606457650912494,1.9920061807178988,0.7878246024755257,1.0669446714564843,0.23900327562002807,0.6332475432849789,0.37187665288103616,0.004495053091354028,0.6433083762283575,0.08516612072999533,0.13238770685579196,0.4389333897662169,3793,3793,3793,8548,0.2,0.05,50,False,1
no_imu_family,cross_mask,0.525,0.39939167056621433,0.15793167992512863,0.10224613944782407,1.9920061807178988,0.31711255895834695,0.7622357244287372,0.19852597098736546,0.5898455779129621,0.37187665288103616,0.004495053091354028,0.5422321010762752,0.03497894244267665,0.0645091693635383,0.6892015398266423,3793,3793,3793,8548,0.2,0.05,50,False,1
severe_three_sensors,hard,0.875,0.5839962564342537,-0.03907346747777263,-0.042115114646701035,1.1019226089617231,-0.009748856389768636,0.077653143553151,0.378451099672438,0.5346279831539541,0.22395351306813926,0.0034014253820687824,0.660271408516612,0.21548900327562004,0.32636428065201983,0.4929531376870368,3793,3793,3793,8548,0.2,0.05,50,False,1
severe_three_sensors,cross_mask,1.0,0.5839962564342537,-0.03720168460458595,-0.0016378100140383989,1.1019226089617231,-0.03991073389114765,-0.018766299590961263,0.3451099672437997,0.5467945718296677,0.22395351306813926,0.0034014253820687824,0.6452971455311184,0.14740290126345343,0.22842639593908629,0.733555311525759,3793,3793,3793,8548,0.2,0.05,50,False,1
low_cost_accels_only,hard,0.975,0.6269302760879738,0.0033926064576509374,0.013102480112306969,0.9689891480600435,0.09566659727822244,0.08765280649501414,0.37587739822180627,0.6297379503977538,0.21282897893723934,0.003673438691961925,0.8296677585400094,0.25397753860552175,0.3061195713479977,0.47060492574079604,3793,3793,3793,8548,0.2,0.05,50,False,2
low_cost_accels_only,cross_mask,1.0,0.6269302760879738,0.007370145063172684,0.020355638745905513,0.9689891480600435,0.07230468773393324,0.11768166913420586,0.4227889564810482,0.6343004211511465,0.21282897893723934,0.003673438691961925,0.7213383247543285,0.21736078614880674,0.3013298734998378,0.6799145868641105,3793,3793,3793,8548,0.2,0.05,50,False,2
no_shoes,hard,0.975,0.6472859148338793,0.005381375760411755,0.010879737950397761,1.0075049380740353,0.09401996182687836,0.11778765746284758,0.4178755264389331,0.6514974262985493,0.21775829220096588,0.004121277238720975,0.7746841366401498,0.24789424426766496,0.31999395952884324,0.44985264116990803,3793,3793,3793,8548,0.2,0.05,50,False,2
no_shoes,cross_mask,1.0,0.6472859148338793,0.02257838090781461,0.04843238184370613,1.0075049380740353,0.15246745576757634,0.24104963671173038,0.45507721104351895,0.6698642957416939,0.21775829220096588,0.004121277238720975,0.5934721572297613,0.1539541413196069,0.25941257638478216,0.681761337627907,3793,3793,3793,8548,0.2,0.05,50,False,2
